country,variable,year,average
AG,PRCP,1890,20.3796066018539
AG,TMAX,1890,217.484349640621
AG,TMIN,1890,101.69173630455
AJ,PRCP,1890,5.57081545064378
AJ,TAVG,1890,131.547945205479
AM,PRCP,1890,7.18904109589041
AM,TAVG,1890,113.402739726027
AM,TMIN,1890,53.3616438356164
AS,DAPR,1890,2.3047363717605
AS,DATN,1890,2.00925925925926
AS,DATX,1890,2.00934579439252
AS,DWPR,1890,1.04825737265416
AS,MDPR,1890,105.11528150134
AS,MDTN,1890,75.3611111111111
AS,MDTX,1890,240.551401869159
AS,PRCP,1890,22.7295966097255
AS,TMAX,1890,244.889883171762
AS,TMIN,1890,129.40818102698
AU,PRCP,1890,33.9013698630137
AU,TMAX,1890,90.0041103934234
AU,TMIN,1890,17.4251321197886
BE,PRCP,1890,22.1972602739726
BE,TMAX,1890,127.328767123288
BE,TMIN,1890,49.6465753424658
BO,PRCP,1890,15.1753424657534
BO,TAVG,1890,66.4986301369863
CA,MDPR,1890,147.172839506173
CA,MDSF,1890,144
CA,PRCP,1890,24.1182372583755
CA,SNOW,1890,4.72562080770839
CA,TMAX,1890,95.0749155664722
CA,TMIN,1890,-12.6092146219741
CE,TMAX,1890,248.001557632399
CE,TMIN,1890,164.396825396825
CY,PRCP,1890,14.6986301369863
CY,TMAX,1890,284.512605042017
CY,TMIN,1890,112.186301369863
DA,PRCP,1890,14.7906066536204
DA,TMAX,1890,102.204931506849
DA,TMIN,1890,48.4147945205479
EG,PRCP,1890,1.98082191780822
EG,TMAX,1890,271.983561643836
EG,TMIN,1890,158.13698630137
EI,PRCP,1890,22.6592797783934
EI,TMAX,1890,131.849239280775
EI,TMIN,1890,61.268326417704
EZ,PRCP,1890,17.4602739726027
EZ,TMAX,1890,123.621917808219
EZ,TMIN,1890,54.0383561643836
FR,PRCP,1890,19.3123287671233
FR,TMAX,1890,9990
GG,PRCP,1890,23.9350282485876
GG,TAVG,1890,128.961643835616
GG,TMAX,1890,190.964383561644
GG,TMIN,1890,74.1780821917808
GL,PRCP,1890,4.35890410958904
GL,TMIN,1890,-101.158904109589
GM,PRCP,1890,18.6205479452055
GM,SNWD,1890,4.81278538812785
GM,TMAX,1890,121.287671232877
GM,TMIN,1890,41.9876712328767
HR,PRCP,1890,26.5811182401467
HR,TMAX,1890,144.539726027397
HR,TMIN,1890,67.3397260273973
IT,PRCP,1890,19.2118721461187
IT,TMAX,1890,168.272602739726
IT,TMIN,1890,89.2506849315069
KG,PRCP,1890,12.9033149171271
KZ,PRCP,1890,2.94308035714286
KZ,TAVG,1890,66.3333333333333
KZ,TMIN,1890,-41.1573033707865
LG,PRCP,1890,14.4908536585366
LH,PRCP,1890,16.2567164179104
LH,TAVG,1890,69.134328358209
LH,TMIN,1890,28.4303797468354
MD,PRCP,1890,12.6876712328767
MD,TAVG,1890,95.5945205479452
NL,PRCP,1890,18.1154899894626
NO,PRCP,1890,26.9082191780822
NO,SNWD,1890,0
RO,PRCP,1890,15.6191780821918
RS,PRCP,1890,11.9208934666747
RS,TAVG,1890,16.6231199838133
RS,TMAX,1890,92.2969543147208
