Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0005,086071,1855,,,,,,,,,22.2,14,18.3,01,15.5,05,19.4,15,27.2,29,32.2,24,35.5,22,36.9,09,
IDCJAC0005,086071,1856,36.7,26,36.1,17,35.1,09,30.3,02,20.1,06,17.1,03,16.7,29,23.3,31,24.7,14,28.1,22,28.9,25,30.3,19,36.7
IDCJAC0005,086071,1857,38.3,12,39.5,08,36.9,01,28.8,20,19.8,14,18.8,07,17.9,30,19.7,23,26.4,27,27.2,16,32.1,09,42.9,24,42.9
IDCJAC0005,086071,1858,42.1,28,35.7,19,34.0,07,29.9,01,24.5,06,16.5,01,15.1,22,21.7,28,22.3,19,30.3,25,39.5,22,34.6,31,42.1
IDCJAC0005,086071,1859,35.8,01,40.0,06,30.8,01,29.7,02,22.1,01,17.1,08,16.1,17,19.3,05,22.1,25,29.4,02,34.1,22,39.4,04,40.0
IDCJAC0005,086071,1860,43.9,22,34.3,27,35.1,25,29.9,02,19.1,08,17.3,21,17.1,31,18.3,27,24.1,08,24.5,06,29.9,22,34.4,31,43.9
IDCJAC0005,086071,1861,36.9,10,32.0,14,35.6,12,27.7,05,22.4,08,17.8,11,15.3,02,19.5,29,25.0,26,30.6,20,32.9,18,30.5,27,36.9
IDCJAC0005,086071,1862,44.0,14,35.9,23,37.0,09,24.3,15,19.3,19,16.1,20,16.9,10,22.7,26,24.1,27,30.3,13,36.3,17,41.7,31,44.0
IDCJAC0005,086071,1863,40.3,08,40.0,02,33.3,05,28.1,15,22.3,11,16.7,05,18.2,25,17.9,25,21.7,25,25.6,25,31.1,21,33.7,29,40.3
IDCJAC0005,086071,1864,35.9,08,34.5,18,33.3,14,29.5,01,21.3,04,17.6,16,17.7,14,18.3,28,26.1,20,26.1,10,33.3,30,33.9,23,35.9
IDCJAC0005,086071,1865,34.8,04,39.7,27,35.7,04,34.4,06,21.1,08,20.1,21,15.0,30,21.3,21,26.1,22,32.8,31,37.3,11,38.7,27,39.7
IDCJAC0005,086071,1866,42.3,16,39.1,08,35.5,12,32.7,11,27.8,01,18.0,15,17.2,03,21.3,29,23.9,14,32.1,30,35.1,06,36.1,25,42.3
IDCJAC0005,086071,1867,42.4,12,37.2,10,36.1,06,29.7,04,23.3,15,18.8,07,18.7,12,21.5,25,22.2,03,28.2,30,35.0,28,40.3,19,42.4
IDCJAC0005,086071,1868,37.9,25,34.1,04,40.3,01,27.1,17,26.0,16,19.4,29,17.7,28,19.9,27,25.5,16,35.4,28,38.5,28,43.3,24,43.3
IDCJAC0005,086071,1869,37.5,27,38.2,19,31.7,27,29.7,04,19.6,14,17.5,04,18.1,13,23.3,29,25.4,15,26.7,22,33.9,17,42.4,20,42.4
IDCJAC0005,086071,1870,41.7,24,42.7,15,32.2,19,30.5,02,20.3,05,17.1,26,18.1,16,18.7,25,21.7,05,27.0,24,29.4,11,36.3,17,42.7
IDCJAC0005,086071,1871,36.7,26,34.3,18,30.5,27,31.0,02,22.7,08,17.6,26,17.7,14,21.2,24,23.2,17,30.3,24,31.7,21,41.1,22,41.1
IDCJAC0005,086071,1872,39.6,16,35.5,17,35.5,03,25.6,20,19.6,31,20.0,02,17.7,09,18.4,17,24.4,11,29.2,28,33.3,26,32.3,06,39.6
IDCJAC0005,086071,1873,38.3,20,39.1,16,35.1,05,29.5,07,21.4,08,20.0,01,17.7,31,21.9,28,26.3,28,32.1,16,28.9,04,38.4,08,39.1
IDCJAC0005,086071,1874,37.7,02,38.3,14,33.5,11,25.8,09,22.5,09,16.9,06,17.1,24,20.1,21,20.7,24,31.3,18,31.0,04,39.3,17,39.3
IDCJAC0005,086071,1875,43.5,20,37.9,03,33.9,10,26.7,10,20.8,03,18.3,24,18.9,14,20.5,17,23.7,25,27.1,14,30.0,27,34.0,20,43.5
IDCJAC0005,086071,1876,39.3,30,39.3,07,36.7,14,26.1,15,22.3,05,17.5,05,16.7,26,21.3,23,26.7,20,28.5,04,35.1,14,43.7,15,43.7
