Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,86071,1855,null,null,null,null,16.4,14.0,12.7,14.9,16.8,19.9,21.7,22.6,null
IDCJAC0002,86071,1856,25.1,25.2,26.2,20.1,15.4,13.4,11.6,14.9,17.1,18.6,19.6,21.3,19.0
IDCJAC0002,86071,1857,24.5,28.0,22.7,21.3,15.0,13.2,13.9,15.6,17.1,18.9,20.9,27.1,19.9
IDCJAC0002,86071,1858,29.6,26.2,25.3,20.5,16.8,14.0,12.0,14.9,15.7,20.0,23.6,24.2,20.2
IDCJAC0002,86071,1859,25.2,24.7,22.4,19.5,15.5,12.7,12.2,14.9,16.6,20.6,21.6,26.8,19.4
IDCJAC0002,86071,1860,27.3,24.6,24.5,19.5,16.4,13.7,13.2,14.4,17.6,18.7,21.6,23.7,19.6
IDCJAC0002,86071,1861,25.6,24.0,24.4,20.5,15.8,14.4,11.9,14.5,17.6,20.1,21.5,22.9,19.4
IDCJAC0002,86071,1862,27.0,24.8,25.0,18.7,15.1,12.8,12.9,14.0,18.0,19.7,25.5,24.8,19.9
IDCJAC0002,86071,1863,26.7,24.2,24.4,20.9,16.7,13.3,13.4,14.1,16.3,18.9,20.9,22.7,19.4
IDCJAC0002,86071,1864,24.1,22.6,23.2,21.4,16.7,13.8,13.6,14.3,18.5,17.8,21.8,22.6,19.2
IDCJAC0002,86071,1865,22.9,25.1,23.4,22.9,15.3,14.1,12.5,15.7,17.3,19.7,23.8,22.7,19.6
IDCJAC0002,86071,1866,25.8,27.5,23.7,22.6,19.6,14.0,13.2,15.7,17.1,20.5,20.0,23.9,20.3
IDCJAC0002,86071,1867,25.8,25.0,23.8,20.0,16.8,16.5,13.9,15.8,17.0,20.2,22.0,23.2,20.0
IDCJAC0002,86071,1868,24.2,24.9,25.5,20.7,17.7,14.4,13.5,15.1,18.3,21.2,22.9,23.9,20.2
IDCJAC0002,86071,1869,26.2,25.3,22.9,20.0,15.6,14.3,14.0,16.3,17.9,18.7,22.5,26.0,20.0
IDCJAC0002,86071,1870,26.8,26.5,25.2,21.7,16.2,14.1,13.4,14.7,16.0,19.8,21.3,23.7,19.9
IDCJAC0002,86071,1871,26.8,25.3,22.4,21.5,18.0,15.1,14.4,16.4,17.5,18.1,22.3,25.9,20.3
IDCJAC0002,86071,1872,27.1,24.3,25.1,19.2,16.4,15.3,14.5,13.8,18.0,20.2,23.7,24.0,20.1
IDCJAC0002,86071,1873,24.9,25.5,22.4,21.0,17.8,15.8,13.4,16.0,17.9,21.3,19.8,27.3,20.3
IDCJAC0002,86071,1874,25.5,25.1,22.2,21.0,16.2,13.2,13.3,14.4,15.1,21.7,22.0,24.1,19.5
IDCJAC0002,86071,1875,26.9,24.9,24.2,20.1,16.0,14.4,13.5,15.0,16.6,19.0,20.2,22.4,19.4
IDCJAC0002,86071,1876,25.7,26.1,24.5,20.0,16.7,13.4,13.2,15.0,17.3,19.9,21.2,25.1,19.8
IDCJAC0002,86071,1877,23.8,25.9,23.8,20.9,16.2,14.1,14.5,16.2,16.6,19.2,20.7,24.1,19.7
IDCJAC0002,86071,1878,25.7,24.2,23.7,20.8,16.8,11.6,13.2,15.3,18.1,19.9,22.0,24.3,19.6
IDCJAC0002,86071,1879,25.3,25.9,24.1,21.9,15.3,12.6,12.2,15.1,16.1,18.8,19.9,22.9,19.2
IDCJAC0002,86071,1880,25.2,27.4,23.7,19.7,15.4,13.5,13.1,16.4,16.7,17.8,21.0,23.3,19.4
IDCJAC0002,86071,1881,26.2,25.1,23.6,20.7,17.8,13.0,13.6,15.2,17.6,18.5,20.5,22.5,19.5
IDCJAC0002,86071,1882,25.9,26.2,25.5,19.4,17.0,13.2,12.6,14.3,17.4,20.8,22.3,24.0,19.9
IDCJAC0002,86071,1883,26.4,25.7,24.5,21.9,16.2,15.6,12.8,15.1,16.6,19.3,22.7,23.7,20.0
IDCJAC0002,86071,1884,23.3,23.5,23.6,20.9,16.7,14.6,12.8,16.4,18.0,18.4,21.1,22.5,19.3
