Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,86071,1855,null,null,null,null,9.1,6.3,5.3,5.9,8.5,9.6,11.5,13.6,null
IDCJAC0004,86071,1856,14.7,15.6,16.5,12.6,8.8,7.5,4.8,7.1,8.1,9.5,11.1,11.4,10.6
IDCJAC0004,86071,1857,13.7,16.8,14.0,12.2,7.5,6.5,5.4,6.0,6.5,9.1,10.7,13.6,10.2
IDCJAC0004,86071,1858,15.0,14.2,13.4,10.1,8.6,5.6,5.3,6.4,6.9,8.3,11.3,12.1,9.8
IDCJAC0004,86071,1859,14.4,12.6,11.6,10.0,8.1,6.0,5.2,6.9,6.7,9.4,11.1,13.1,9.6
IDCJAC0004,86071,1860,14.1,13.1,13.1,10.9,9.4,6.4,4.6,5.8,6.7,9.3,10.8,12.9,9.8
IDCJAC0004,86071,1861,14.5,14.0,13.7,10.4,7.7,7.2,4.9,5.4,7.0,9.6,10.0,12.1,9.7
IDCJAC0004,86071,1862,13.6,14.5,13.1,9.7,8.3,6.6,7.2,6.6,8.2,8.8,10.6,11.4,9.9
IDCJAC0004,86071,1863,14.1,14.5,13.4,9.7,8.1,5.8,6.8,5.1,6.3,8.6,9.5,12.1,9.5
IDCJAC0004,86071,1864,12.0,12.0,12.3,11.7,8.4,6.5,5.9,6.0,8.9,9.1,10.3,12.3,9.6
IDCJAC0004,86071,1865,13.1,11.3,11.1,9.5,6.8,5.1,4.2,4.9,6.9,7.5,10.2,10.7,8.4
IDCJAC0004,86071,1866,12.8,12.7,11.6,11.0,9.0,5.4,4.8,5.7,6.3,9.4,8.6,11.3,9.1
IDCJAC0004,86071,1867,13.2,13.0,11.0,10.7,7.9,6.8,6.4,6.3,7.4,8.2,9.2,10.2,9.2
IDCJAC0004,86071,1868,12.4,12.1,12.1,9.0,6.5,5.8,5.2,4.7,8.2,8.4,10.7,11.4,8.9
IDCJAC0004,86071,1869,11.9,12.3,11.8,9.9,7.2,6.7,4.2,6.3,6.5,8.1,10.3,11.9,8.9
IDCJAC0004,86071,1870,13.3,12.4,12.2,12.1,6.3,7.4,4.4,5.4,6.9,9.8,9.9,11.6,9.3
IDCJAC0004,86071,1871,13.9,14.0,10.2,9.0,9.0,6.4,5.7,6.9,7.5,7.6,11.0,12.9,9.5
IDCJAC0004,86071,1872,15.2,13.3,13.0,9.4,7.2,7.9,5.9,4.7,7.7,9.0,11.8,11.5,9.7
IDCJAC0004,86071,1873,12.6,14.5,11.8,11.5,8.9,7.9,4.2,7.3,7.2,9.5,9.3,11.9,9.7
IDCJAC0004,86071,1874,13.5,11.7,12.7,10.4,7.5,5.9,4.3,4.7,6.3,9.7,9.7,11.7,9.0
IDCJAC0004,86071,1875,13.3,13.1,11.6,9.4,7.3,7.6,4.3,6.7,6.6,9.3,9.6,11.4,9.2
IDCJAC0004,86071,1876,13.0,13.0,13.3,9.2,7.7,5.6,4.7,5.6,6.9,9.4,9.8,11.9,9.2
IDCJAC0004,86071,1877,11.7,13.8,13.3,9.7,8.5,6.3,5.4,5.6,7.6,8.4,8.1,10.7,9.1
IDCJAC0004,86071,1878,13.4,14.6,13.5,11.4,7.3,5.1,6.5,7.2,8.1,7.7,10.2,11.8,9.7
IDCJAC0004,86071,1879,13.2,13.2,11.9,10.7,7.4,5.2,4.8,6.3,7.7,8.9,9.6,11.7,9.2
IDCJAC0004,86071,1880,12.8,16.2,14.2,11.6,9.2,6.9,4.3,7.7,8.3,7.5,9.7,11.1,10.0
IDCJAC0004,86071,1881,13.7,13.3,12.7,9.5,9.2,4.8,5.7,7.2,7.0,8.3,10.8,12.2,9.5
IDCJAC0004,86071,1882,12.7,12.9,12.4,9.6,9.4,5.6,5.6,6.5,7.9,8.8,10.9,12.0,9.5
IDCJAC0004,86071,1883,13.1,14.5,13.0,10.9,6.9,8.8,5.2,6.0,7.1,8.8,11.0,12.2,9.8
IDCJAC0004,86071,1884,12.3,13.2,12.4,10.4,7.7,6.6,4.1,7.4,7.4,8.0,10.5,11.4,9.3
IDCJAC0004,86071,1885,12.0,12.9,11.2,9.6,9.0,6.1,4.4,6.8,8.4,9.5,10.8,13.5,9.5
IDCJAC0004,86071,1886,14.4,12.1,11.0,10.2,7.2,5.4,4.2,5.8,7.6,7.7,10.8,12.5,9.1
IDCJAC0004,86071,1887,15.4,14.9,13.1,10.7,8.3,6.4,6.6,6.0,6.8,8.7,9.8,13.5,10.0
IDCJAC0004,86071,1888,13.8,12.2,10.9,8.5,8.3,7.9,5.5,4.5,7.7,8.1,11.0,13.4,9.3
IDCJAC0004,86071,1889,14.9,13.7,12.0,11.1,9.3,8.3,4.8,6.1,6.2,10.4,11.1,12.0,10.0
IDCJAC0004,86071,1890,15.8,15.7,14.4,10.3,8.0,8.9,4.5,6.2,8.1,9.2,10.4,11.3,10.2
IDCJAC0004,86071,1891,12.3,12.1,13.2,10.0,7.3,7.6,6.4,7.1,7.6,9.3,10.6,11.0,9.5
IDCJAC0004,86071,1892,13.0,13.6,13.5,9.1,7.7,7.7,4.7,6.3,7.5,9.0,10.9,11.0,9.5
IDCJAC0004,86071,1893,12.9,13.8,12.2,10.6,9.9,6.2,5.4,6.6,8.4,10.4,11.1,12.6,10.0
IDCJAC0004,86071,1894,14.8,13.5,13.8,11.8,7.7,7.5,5.6,6.7,6.4,10.1,11.2,13.8,10.2
